timeStamp,user count
1615961067000,15956562
1615961352000,15973748
1615961638000,15992727
1615961924000,16012834
1615962210000,16041293
1615962496000,16077865
1615962782000,16091830
1615963068000,16132802
1615963354000,16199367
1615963640000,16279252
1615963926000,16376295
1615964212000,16493891
1615964498000,16611734
1615964784000,16706252
1615965069000,16782520
1615965355000,16855281
1615965641000,16926376
1615965927000,16994739
1615966213000,17071963
1615966499000,17144741
1615966785000,17212381
1615967071000,17280708
1615967357000,17360082
1615967643000,17448873
1615967929000,17537507
1615968215000,17619589
1615968501000,17697271
1615968786000,17764657
1615969072000,17843654
1615969358000,17922069
1615969644000,17995380
1615969930000,18065795
1615970216000,18137953
1615970502000,18213695
1615970788000,18292691
1615971074000,18373930
1615971360000,18454256
1615971646000,18533490
1615971932000,18605837
1615972218000,18678014
1615972503000,18743383
1615972789000,18829314
1615973075000,18904491
1615973361000,18973650
1615973647000,19035750
1615973933000,19117370
1615974219000,19203801
1615974505000,19292970
1615974791000,19384081
1615975077000,19475688
1615975363000,19549599
1615975649000,19620834
1615975935000,19710113
1615976220000,19812848
1615976506000,19915671
1615976792000,20015605
1615977078000,20115393
1615977364000,20216431
1615977650000,20318420
1615977936000,20420405
1615978222000,20529091
1615978508000,20638786
1615978794000,20749041
1615979080000,20861659
1615979366000,20976403
1615979652000,21095476
1615979937000,21217138
1615980223000,21343583
1615980509000,21467249
1615980795000,21594205
1615981081000,21710072
1615981367000,21837228
1615981653000,21963907
1615981939000,22097189
1615982225000,22234680
1615982511000,22372709
1615982797000,22511830
1615983083000,22647478
1615983369000,22781438
1615983654000,22912871
1615983940000,23038646
1615984226000,23162095
1615984512000,23301859
1615984798000,23430678
1615985084000,23561193
1615985370000,23696208
1615985656000,23829402
1615985942000,23968206
1615986228000,24103340
1615986514000,24228437
1615986800000,24346509
1615987086000,24464714
1615987371000,24572971
1615987657000,24674626
1615987943000,24774192
1615988229000,24866678
1615988515000,24947660
1615988801000,25023036
1615989087000,25095038
1615989373000,25159931
1615989659000,25219229
1615989945000,25269235
1615990231000,25310855
1615990517000,25333609
1615990803000,25359495
1615991089000,25380376
1615991374000,25395101
1615991660000,25387223
1615991946000,25382239
